"REF_DATE","GEO","DGUID","Criminal Justice System","Key indicators","Sex of accused","Offences","Statistics","Fiscal quarters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284134908","2.2.1.1.36.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284134908","2.2.1.1.36.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284134908","2.2.1.1.36.2.3","","..","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276951124","3.1.1.1.1.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276951124","3.1.1.1.1.2.3","-35.1","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276951124","3.1.1.1.1.2.3","21.4","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276951124","3.1.1.1.1.2.3","5.0","","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276951214","3.1.1.1.4.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276951214","3.1.1.1.4.2.3","-23.1","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276951214","3.1.1.1.4.2.3","35.0","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276951214","3.1.1.1.4.2.3","1.5","","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276951463","3.1.1.1.15.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276951463","3.1.1.1.15.2.3","-51.0","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276951463","3.1.1.1.15.2.3","28.8","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276951463","3.1.1.1.15.2.3","-5.7","","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276951638","3.1.1.1.22.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276951638","3.1.1.1.22.2.3","-42.3","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276951638","3.1.1.1.22.2.3","14.6","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276951638","3.1.1.1.22.2.3","2.2","","","","1"
