"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1159.31","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44348922","4.1.9","1692","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44348922","4.1.9","1924","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44348922","4.1.9","2016","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44348922","4.1.9","1956","","","","0"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44348922","4.1.9","1622","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44405274","4.1.10","1392.35","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44405274","4.1.10","1548.72","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44405274","4.1.10","1577.44","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44405274","4.1.10","1488.98","","","","2"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44405274","4.1.10","1206.36","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44344951","4.1.11","111","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44344951","4.1.11","93","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44344951","4.1.11","136","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44344951","4.1.11","75","","","","0"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44344951","4.1.11","64","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44336877","4.1.12","1100.32","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44336877","4.1.12","917.34","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44336877","4.1.12","1297.96","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44336877","4.1.12","691.31","","","","2"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44336877","4.1.12","583.04","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080691","4.1.13","170","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080691","4.1.13","149","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080691","4.1.13","103","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080691","4.1.13","102","","","","0"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080691","4.1.13","107","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080692","4.1.14","1685.17","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080692","4.1.14","1469.72","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080692","4.1.14","983.01","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080692","4.1.14","940.18","","","","2"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080692","4.1.14","974.77","","","","2"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","54459","","","","0"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","54492","","","","0"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","56956","","","","0"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","57484","","","","0"
"2021","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","59719","","","","0"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5731.87","","","","2"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5685.69","","","","2"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5870.28","","","","2"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5854.43","","","","2"
"2021","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","6019.73","","","","2"
